"meanImp","medianImp","minImp","maxImp","normHits","decision"
4.50269363063094,4.41532447502251,3.39494162128883,5.81474096317251,0.98989898989899,"Confirmed"
5.83692947230786,5.87860344199135,4.01377374549471,7.08846863205161,1,"Confirmed"
0.345912124141523,0.449135298361956,-1.8259528251677,2.32724151201503,0,"Rejected"
0.229508181101893,0.365949625953547,-1.39883142008521,1.55815237829758,0,"Rejected"
0.458037562484766,0.631144746515174,-1.57540905053079,2.54371526443399,0.0101010101010101,"Rejected"
0.161334629301763,0.0930410933767719,-0.869538860862285,2.04828738372494,0,"Rejected"
0.268239699386558,0.426204036336309,-1.33202587691937,1.38054989928786,0,"Rejected"
0.5055828278993,0.583425462766589,-1.58466523938919,1.71974642317209,0,"Rejected"
0.61592373672499,0.598049872614934,-1.41450126056724,2.77080937398445,0.0101010101010101,"Rejected"
0.0249536775249226,0.111747348729246,-1.69108996649864,1.63006908688238,0,"Rejected"
0.20332302881736,0.567876399491557,-2.48534239105564,1.65375872648308,0,"Rejected"
0.107959286442726,0.14854584655911,-1.46297088213541,1.55228800328749,0,"Rejected"
-0.316237509302579,-0.542081386161689,-1.89019308244146,1.05359540362064,0,"Rejected"
0.440760352574737,0.438505682669627,-1.51187492752032,2.2017979643697,0,"Rejected"
-0.167317551603661,0.0786364607158935,-1.42260756014053,0.818623179284589,0,"Rejected"
0.53488882704996,0.556176747153798,-1.15579812001213,2.47240635203142,0,"Rejected"
0.28867186851062,0.478737444947646,-2.02199536464675,1.66181789612395,0,"Rejected"
0.741913777509031,1.02895449071334,-1.0370380574225,2.64895880510502,0,"Rejected"
-0.0157560609208961,-0.306358145180321,-1.81260117438402,2.53657340486966,0,"Rejected"
-0.12335306717919,-0.0661894336388087,-1.85768638009416,1.53751012890681,0,"Rejected"
0.781548024785939,0.983317426099039,-1.36231905802447,2.13616116874704,0,"Rejected"
0.252901077336798,0.133118389165772,-1.02244570138917,1.81422205031164,0,"Rejected"
1.02302655029355,1.40915655269373,-1.42565566362904,2.40876171832019,0,"Rejected"
0.107156224833382,0.304950685142463,-1.54466953065897,1.18846704853822,0,"Rejected"
0.401893523408095,0.398453601435303,-1.38547627255681,2.2855141707097,0,"Rejected"
-0.285014609137614,-0.420514220925625,-1.45418682637958,1.04294167752239,0,"Rejected"
0.251175640600096,0.319490750768846,-2.06097768300127,2.18828553321841,0,"Rejected"
0.157156986358035,0.221735697632087,-1.14556666145786,1.541466237703,0,"Rejected"
0.14572532112596,0.378287211671055,-1.95687357980538,1.48679768607176,0,"Rejected"
0.268924212554542,0.330521917713879,-0.912834878511079,1.57840605988689,0,"Rejected"
0.00685655729129007,-0.127096410310621,-1.29622333731098,1.43633217335263,0,"Rejected"
0.268441401704747,0.308877355660829,-1.65188351749983,1.63230476863065,0,"Rejected"
0.335384801251886,0.585512061722174,-1.33038594721353,1.38479317291829,0,"Rejected"
1.06626310308496,1.13921986825726,-0.683799552733889,2.53223027405383,0,"Rejected"
1.38382862479074,1.67418815379822,-1.43137421192421,3.69681719188237,0.0404040404040404,"Rejected"
0.989893675768333,0.923195383595173,-0.145023841937264,2.61131985530014,0,"Rejected"
0.351171453290256,0.44916696948704,-1.15008745936456,1.84896671797683,0,"Rejected"
2.93509551459971,3.01194655975734,0.153721877770572,5.11108789623927,0.626262626262626,"Tentative"
2.79988153989067,2.88684396760377,0.71800964276776,4.36376403528221,0.555555555555556,"Tentative"
0.999760649752558,1.02297437864342,-0.853813842171009,2.52651561349103,0,"Rejected"
0.943492118934317,0.988014318283869,-0.55721099164967,3.29396756141153,0.0101010101010101,"Rejected"
2.64726467460241,2.78118543581987,0.0601542418603773,5.21675503482106,0.515151515151515,"Tentative"
3.1164781675671,3.14214211105835,0.957664775812391,4.75335719999982,0.727272727272727,"Confirmed"
0.800001492457205,1.04059073100537,-0.564962467751067,2.14858348062296,0,"Rejected"
1.36320276026011,1.39059851003513,0.298504029010168,2.39118651707217,0.0101010101010101,"Rejected"
-0.331451676648369,-0.16595397317701,-1.86710556071664,1.36589703168176,0,"Rejected"
1.12939777581816,1.12620298625116,-0.623272975710988,2.73709444324889,0,"Rejected"
0.315874009730659,0.449189259542783,-1.48083194601922,1.97847501972302,0,"Rejected"
0.908056910947341,0.919125851260564,-0.667671804247766,2.4881700660134,0,"Rejected"
3.58303441511294,3.68879267594297,1.54001831727769,4.85295165949102,0.888888888888889,"Confirmed"
1.0763039512278,1.07672963677015,0.0872569900298671,2.13984400708157,0,"Rejected"
3.13333216536488,3.15405288072637,1.47183688355995,4.83406915954501,0.757575757575758,"Confirmed"
2.46408296381358,2.60731504722924,-0.135343601541409,4.92680127000639,0.404040404040404,"Tentative"
3.3454383737456,3.35281252575811,1.52711275576975,4.80643355954624,0.797979797979798,"Confirmed"
2.96589323558758,2.9708037032827,0.453621127732077,4.54277787739805,0.636363636363636,"Tentative"
1.19323345042458,1.12287839585089,0.17979431817377,2.47543245042692,0.0101010101010101,"Rejected"
2.4142052396415,2.46941974159299,-0.541319925555955,4.40438133762563,0.373737373737374,"Tentative"
2.37214507224114,2.41561088627899,-0.230363956143588,4.65139234853848,0.383838383838384,"Tentative"
3.84911053577067,3.94511907660517,1.41484384897515,5.07382814840731,0.888888888888889,"Confirmed"
0.115094461304272,0.0456520514728366,-1.62056488801815,1.6260347576915,0,"Rejected"
4.29783410972553,4.39007503403653,1.54810858963972,5.85619189024154,0.95959595959596,"Confirmed"
3.12667958979241,3.0841075649144,0.508207461163204,5.10117406451025,0.686868686868687,"Tentative"
